Name,Location,Price,Region,Style,Likes
蠔站 O S Plus,將軍澳唐德街9號將軍澳中心1樓163B舖,$201-400,法國菜,酒,24
黃記煌三汁燜鍋,尖沙咀加拿分道16號金輝大廈1樓,$101-200,西式,海鮮,70
大勝丼 Daikatsu Don,旺角彌敦道594-596號旺角新城5樓,$101-200,京菜 (官府菜),火鍋,46
EAT ME Bar & Restaurant,旺角彌敦道560號譽發廣場5樓全層,$101-200,日本菜,壽司/刺身,474
Zenon Café,中環威靈頓街86號地舖,$51-100,多國菜,咖啡店,221
Rang Mahal Authentic Indian Cuisine,中環皇后大道中118號2樓,$101-200,西式,三文治,206
7E咖喱王 Khyber Pass Mess Club,尖沙咀彌敦道36-44號重慶大廈E座7樓E2室,$51-100,西式,甜品/糖水,203
尚廚 The Chef's Table,將軍澳唐德街3號香港九龍東皇冠假日酒店1樓,$201-400,印度菜,咖喱,45
鷹巢 Eagle's Garden,旺角豉油街2號香港旺角希爾頓花園酒店2樓,$101-200,多國菜,自助餐,35
Amazing,油麻地九龍窩打老道23號城景國際大堂,$101-200,粵菜 (廣東),點心,41
Orange Tree,中環蘭桂坊15-16號協興大廈5樓,$201-400,泰國菜,咪嘥嘢食店,26
捌壹壹 811 Sichuan Cuisine,旺角奶路臣街33號地下F號舖,$101-200,荷蘭菜,荷蘭菜,61
印度皇 Basmati (Taste of India),上環干諾道中137-139號三台商業大廈1樓,$51-100,川菜 (四川),火鍋,56
Go Inside Kitchen,觀塘觀塘道404號時運工業大廈5樓D室,$101-200,印度菜,自助餐,276
LA Creperie,銅鑼灣駱克道459-461號The L. Square 8樓,$101-200,意大利菜,西式,141
