,Rank,Song,Artist,Year
4731,32,young wild  free,snoop dogg and wiz khalifa featuring bruno mars,2012
4732,33,we are never ever getting back together,taylor swift,2012
4733,34,as long as you love me,justin bieber featuring big sean,2012
4734,35,turn me on,david guetta featuring nicki minaj,2012
4735,36,moves like jagger,maroon 5 featuring christina aguilera,2012
4736,37,blow me one last kiss,pink,2012
4737,38,good time,owl city and carly rae jepsen,2012
4738,39,give your heart a break,demi lovato,2012
4739,40,niggas in paris,jayz and kanye west,2012
4740,41,the one that got away,katy perry,2012
4741,42,feel so close,calvin harris,2012
4742,43,someone like you,adele,2012
4743,44,scream,usher,2012
4744,45,rack city,tyga,2012
4745,46,domino,jessie j,2012
4746,47,gangnam style,psy,2012
4747,48,international love,pitbull featuring chris brown,2012
4748,49,home,phillip phillips,2012
4749,50,without you,david guetta featuring usher,2012
4750,51,ass back home,gym class heroes featuring neon hitch,2012
4751,52,wanted,hunter hayes,2012
4752,53,drunk on you,luke bryan,2012
4753,54,no lie,2 chainz featuring drake,2012
4754,55,want u back,cher lloyd,2012
4755,56,dont wake me up,chris brown,2012
4756,57,dance a,big sean featuring nicki minaj,2012
4757,58,springsteen,eric church,2012
4758,59,brokenhearted,karmin,2012
4759,60,not over you,gavin degraw,2012
4760,61,stereo hearts,gym class heroes featuring adam levine,2012
4761,62,back in time,pitbull,2012
4762,63,work out,j cole,2012
4763,64,rumour has it,adele,2012
4764,65,lets go,calvin harris featuring neyo,2012
4765,66,good girl,carrie underwood,2012
4766,67,pontoon,little big town,2012
4767,68,ho hey,the lumineers,2012
4768,69,paradise,coldplay,2012
4769,70,blown away,carrie underwood,2012
4770,71,rolling in the deep,adele,2012
4771,72,climax,usher,2012
4772,73,work hard play hard,wiz khalifa,2012
4773,74,let me love you until you learn to love yourself,neyo,2012
4774,75,pound the alarm,nicki minaj,2012
4775,76,come over,kenny chesney,2012
4776,77,heart attack,trey songz,2012
4777,78,drank in my cup,kirko bangz,2012
4778,79,birthday cake,rihanna featuring chris brown,2012
4779,80,so good,bob,2012
4780,81,50 ways to say goodbye,train,2012
4781,82,red solo cup,toby keith,2012
4782,83,love you like a love song,selena gomez  the scene,2012
4783,84,turn up the music,chris brown,2012
4784,85,die young,keha,2012
4785,86,5 oclock,tpain featuring wiz khalifa and lily allen,2012
4786,87,a thousand years,christina perri,2012
4787,88,take a little ride,jason aldean,2012
4788,89,you da one,rihanna,2012
4789,90,we run the night,havana brown featuring pitbull,2012
4790,91,its time,imagine dragons,2012
4791,92,cashin out,cah out,2012
4792,93,i dont want this night to end,luke bryan,2012
4793,94,diamonds,rihanna,2012
4794,95,hard to love,lee brice,2012
4795,96,somethin bout a truck,kip moore,2012
4796,97,adorn,miguel,2012
4797,98,fly over states,jason aldean,2012
4798,99,even if it breaks your heart,eli young band,2012
4799,100,burn it down,linkin park,2012
4800,1,thrift shop,macklemore and ryan lewis featuring wanz,2013
4801,2,blurred lines,robin thicke featuring ti and pharrell williams,2013
4802,3,radioactive,imagine dragons,2013
4803,4,harlem shake,baauer,2013
4804,5,cant hold us,macklemore and ryan lewis featuring ray dalton,2013
4805,6,mirrors,justin timberlake,2013
4806,7,just give me a reason,pink featuring nate ruess,2013
4807,8,when i was your man,bruno mars,2013
4808,9,cruise,florida georgia line featuring nelly,2013
4809,10,roar,katy perry,2013
4810,11,locked out of heaven,bruno mars,2013
4811,12,ho hey,the lumineers,2013
4812,13,stay,rihanna featuring mikky ekko,2013
4813,14,get lucky,daft punk featuring pharrell williams,2013
4814,15,royals,lorde,2013
4815,16,i knew you were trouble,taylor swift,2013
4816,17,we cant stop,miley cyrus,2013
4817,18,wrecking ball,miley cyrus,2013
4818,19,wake me up,avicii,2013
4819,20,suit  tie,justin timberlake featuring jayz,2013
4820,21,cups pitch perfects when im gone,anna kendrick,2013
4821,22,holy grail,jay z featuring justin timberlake,2013
4822,23,scream  shout,william featuring britney spears,2013
4823,24,clarity,zedd featuring foxes,2013
4824,25,sail,awolnation,2013
4825,26,dont you worry child,swedish house mafia featuring john martin,2013
4826,27,diamonds,rihanna,2013
4827,28,i love it,icona pop featuring charli xcx,2013
4828,29,safe and sound,capital cities,2013
4829,30,treasure,bruno mars,2013
4830,31,the way,ariana grande featuring mac miller,2013
4831,32,started from the bottom,drake,2013
4832,33,come  get it,selena gomez,2013
4833,34,hold on were going home,drake featuring majid jordan,2013
4834,35,daylight,maroon 5,2013
4835,36,feel this moment,pitbull featuring christina aguilera,2013
4836,37,applause,lady gaga,2013
4837,38,one more night,maroon 5,2013
4838,39,love me,lil wayne featuring drake and future,2013
4839,40,my songs know what you did in the dark light em up,fall out boy,2013
4840,41,fuckin problems,asap rocky featuring drake 2 chainz and kendrick lamar,2013
4841,42,beauty and a beat,justin bieber featuring nicki minaj,2013
4842,43,same love,macklemore and ryan lewis featuring mary lambert,2013
4843,44,sweet nothing,calvin harris featuring florence welch,2013
4844,45,summertime sadness,lana del rey and cedric gervais,2013
4845,46,home,phillip phillips,2013
4846,47,its time,imagine dragons,2013
4847,48,power trip,j cole featuring miguel,2013
4848,49,girl on fire,alicia keys,2013
4849,50,heart attack,demi lovato,2013
4850,51,love somebody,maroon 5,2013
4851,52,i will wait,mumford  sons,2013
4852,53,try,pink,2013
4853,54,wagon wheel,darius rucker,2013
4854,55,gangnam style,psy,2013
4855,56,i need your love,calvin harris featuring ellie goulding,2013
4856,57,die young,kesha,2013
4857,58,some nights,fun,2013
4858,59,bad,wale featuring tiara thomas,2013
4859,60,boys round here,blake shelton featuring pistol annies and friends,2013
4860,61,gone gone gone,phillip phillips,2013
4861,62,demons,imagine dragons,2013
4862,63,counting stars,onerepublic,2013
4863,64,i cry,flo rida,2013
4864,65,little talks,of monsters and men,2013
4865,66,the other side,jason derulo,2013
4866,67,berzerk,eminem,2013
4867,68,catch my breath,kelly clarkson,2013
4868,69,crash my party,luke bryan,2013
4869,70,pour it up,rihanna,2013
4870,71,22,taylor swift,2013
4871,72,i want crazy,hunter hayes,2013
4872,73,the fox what does the fox say,ylvis,2013
4873,74,best song ever,one direction,2013
4874,75,the a team,ed sheeran,2013
4875,76,carry on,fun,2013
4876,77,highway dont care,tim mcgraw featuring taylor swift and keith urban,2013
4877,78,thats my kind of night,luke bryan,2013
4878,79,swimming pools drank,kendrick lamar,2013
4879,80,sure be cool if you did,blake shelton,2013
4880,81,beautiful,mariah carey featuring miguel,2013
4881,82,troublemaker,olly murs featuring flo rida,2013
4882,83,body party,ciara,2013
4883,84,adorn,miguel,2013
4884,85,hall of fame,the script featuring william,2013
4885,86,let me love you until you learn to love yourself,neyo,2013
4886,87,uoeno,rocko featuring future and rick ross,2013
4887,88,next to me,emeli sande,2013
4888,89,mamas broken heart,miranda lambert,2013
4889,90,it goes like this,thomas rhett,2013
4890,91,bugatti,ace hood featuring future and rick ross,2013
4891,92,wanted,hunter hayes,2013
4892,93,downtown,lady antebellum,2013
4893,94,get your shine on,florida georgia line,2013
4894,95,thatpower,william featuring justin bieber,2013
4895,96,brave,sara bareilles,2013
4896,97,let her go,passenger,2013
4897,98,runnin outta moonlight,randy houser,2013
4898,99,im different,2 chainz,2013
4899,100,still into you,paramore,2013
4900,1,happy,pharrell williams,2014
4901,2,dark horse,katy perry featuring juicy j,2014
4902,3,all of me,john legend,2014
4903,4,fancy,iggy azalea featuring charli xcx,2014
4904,5,counting stars,onerepublic,2014
4905,6,talk dirty,jason derulo featuring 2 chainz,2014
4906,7,rude,magic,2014
4907,8,all about that bass,meghan trainor,2014
4908,9,problem,ariana grande featuring iggy azalea,2014
4909,10,stay with me,sam smith,2014
4910,11,timber,pitbull featuring kesha,2014
4911,12,pompeii,bastille,2014
4912,13,shake it off,taylor swift,2014
4913,14,am i wrong,nico  vinz,2014
4914,15,turn down for what,dj snake and lil jon,2014
4915,16,the monster,eminem featuring rihanna,2014
4916,17,say something,a great big world and christina aguilera,2014
4917,18,team,lorde,2014
4918,19,let her go,passenger,2014
4919,20,royals,lorde,2014
4920,21,let it go,idina menzel,2014
4921,22,wake me up,avicii,2014
4922,23,demons,imagine dragons,2014
4923,24,story of my life,one direction,2014
4924,25,chandelier,sia,2014
4925,26,black widow,iggy azalea featuring rita ora,2014
4926,27,bang bang,jessie j ariana grande and nicki minaj,2014
4927,28,latch,disclosure featuring sam smith,2014
4928,29,maps,maroon 5,2014
4929,30,loyal,chris brown featuring lil wayne and french montana too short or tyga,2014
4930,31,best day of my life,american authors,2014
4931,32,habits stay high,tove lo,2014
4932,33,summer,calvin harris,2014
4933,34,boom clap,charli xcx,2014
4934,35,drunk in love,beyonce featuring jay z,2014
4935,36,anaconda,nicki minaj,2014
4936,37,break free,ariana grande featuring zedd,2014
4937,38,bailando,enrique iglesias featuring descemer bueno and gente de zona,2014
4938,39,burn,ellie goulding,2014
4939,40,wiggle,jason derulo featuring snoop dogg,2014
4940,41,rather be,clean bandit featuring jess glynne,2014
4941,42,dont tell em,jeremih featuring yg,2014
4942,43,show me,kid ink featuring chris brown,2014
4943,44,wrecking ball,miley cyrus,2014
4944,45,not a bad thing,justin timberlake,2014
4945,46,roar,katy perry,2014
4946,47,aint it fun,paramore,2014
4947,48,the man,aloe blacc,2014
4948,49,this is how we roll,florida georgia line featuring luke bryan,2014
4949,50,classic,mkto,2014
4950,51,a sky full of stars,coldplay,2014
4951,52,dont,ed sheeran,2014
4952,53,na na,trey songz,2014
4953,54,hot boy,bobby shmurda,2014
4954,55,hold on were going home,drake featuring majid jordan,2014
4955,56,sing,ed sheeran,2014
4956,57,radioactive,imagine dragons,2014
4957,58,my hitta,yg featuring jeezy and rich homie quan,2014
4958,59,cool kids,echosmith,2014
4959,60,hey brother,avicii,2014
4960,61,trumpets,jason derulo,2014
4961,62,animals,maroon 5,2014
4962,63,burnin it down,jason aldean,2014
4963,64,play it again,luke bryan,2014
4964,65,2 on,tinashe featuring schoolboy q,2014
4965,66,dirt,florida georgia line,2014
4966,67,love runs out,onerepublic,2014
4967,68,bottoms up,brantley gilbert,2014
4968,69,shower,becky g,2014
4969,70,me and my broken heart,rixton,2014
4970,71,animals,martin garrix,2014
4971,72,lifestyle,rich gang featuring young thug and rich homie quan,2014
4972,73,american kids,kenny chesney,2014
4973,74,brave,sara bareilles,2014
4974,75,sweater weather,the neighbourhood,2014
4975,76,leave the night on,sam hunt,2014
4976,77,new flame,chris brown featuring usher and rick ross,2014
4977,78,love never felt so good,michael jackson and justin timberlake,2014
4978,79,drunk on a plane,dierks bentley,2014
4979,80,birthday,katy perry,2014
4980,81,bartender,lady antebellum,2014
4981,82,la la la,naughty boy featuring sam smith,2014
4982,83,blurred lines,robin thicke featuring ti and pharrell,2014
4983,84,do what u want,lady gaga featuring r kelly,2014
4984,85,cant remember to forget you,shakira featuring rihanna,2014
4985,86,amnesia,5 seconds of summer,2014
4986,87,no mediocre,ti featuring iggy azalea,2014
4987,88,come with me now,kongos,2014
4988,89,believe me,lil wayne featuring drake,2014
4989,90,23,mike will madeit featuring miley cyrus wiz khalifa and juicy j,2014
4990,91,beachin,jake owen,2014
4991,92,white walls,macklemore  ryan lewis featuring schoolboy q and hollis,2014
4992,93,she looks so perfect,5 seconds of summer,2014
4993,94,stay the night,zedd featuring hayley williams,2014
4994,95,partition,beyonce,2014
4995,96,studio,schoolboy q featuring bj the chicago kid,2014
4996,97,0 to 100  the catch up,drake,2014
4997,98,i dont dance,lee brice,2014
4998,99,somethin bad,miranda lambert and carrie underwood,2014
4999,100,adore you,miley cyrus,2014
5000,1,uptown funk,mark ronson featuring bruno mars,2015
5001,2,thinking out loud,ed sheeran,2015
5002,3,see you again,wiz khalifa featuring charlie puth,2015
5003,4,trap queen,fetty wap,2015
5004,5,sugar,maroon 5,2015
5005,6,shut up and dance,walk the moon,2015
5006,7,blank space,taylor swift,2015
5007,8,watch me,silento,2015
5008,9,earned it,the weeknd,2015
5009,10,the hills,the weeknd,2015
5010,11,cheerleader,omi,2015
5011,12,cant feel my face,the weeknd,2015
5012,13,love me like you do,ellie goulding,2015
5013,14,take me to church,hozier,2015
5014,15,bad blood,taylor swift featuring kendrick lamar,2015
5015,16,lean on,major lazer and dj snake featuring mo,2015
5016,17,want to want me,jason derulo,2015
5017,18,shake it off,taylor swift,2015
5018,19,"where are ""u now",skrillex and diplo featuring justin bieber,2015
5019,20,fight song,rachel platten,2015
5020,21,679,fetty wap featuring remy boyz,2015
5021,22,lips are movin,meghan trainor,2015
5022,23,worth it,fifth harmony featuring kid ink,2015
5023,24,post to be,omarion featuring chris brown and jhene aiko,2015
5024,25,honey im good,andy grammer,2015
5025,26,im not the only one,sam smith,2015
5026,27,good for you,selena gomez featuring aap rocky,2015
5027,28,all about that bass,meghan trainor,2015
5028,29,style,taylor swift,2015
5029,30,hotline bling,drake,2015
5030,31,hey mama,david guetta featuring nicki minaj bebe rexha and afrojack,2015
5031,32,gdfr,flo rida featuring sage the gemini and lookas,2015
5032,33,what do you mean,justin bieber,2015
5033,34,photograph,ed sheeran,2015
5034,35,hello,adele,2015
5035,36,stitches,shawn mendes,2015
5036,37,talking body,tove lo,2015
5037,38,jealous,nick jonas,2015
5038,39,time of our lives,pitbull and neyo,2015
5039,40,locked away,r city featuring adam levine,2015
5040,41,somebody,natalie la rose featuring jeremih,2015
5041,42,fourfiveseconds,rihanna kanye west and paul mccartney,2015
5042,43,centuries,fall out boy,2015
5043,44,my way,fetty wap featuring monty,2015
5044,45,take your time,sam hunt,2015
5045,46,animals,maroon 5,2015
5046,47,i dont fuck with you,big sean featuring e40,2015
5047,48,bitch better have my money,rihanna,2015
5048,49,flex ooh ooh ooh,rich homie quan,2015
5049,50,nasty freestyle,twayne,2015
5050,51,only,nicki minaj featuring drake lil wayne and chris brown,2015
5051,52,elastic heart,sia,2015
5052,53,cool for the summer,demi lovato,2015
5053,54,renegades,x ambassadors,2015
5054,55,i dont mind,usher featuring juicy j,2015
5055,56,love me harder,ariana grande and the weeknd,2015
5056,57,wildest dreams,taylor swift,2015
5057,58,stay with me,sam smith,2015
5058,59,you know you like it,dj snake and alunageorge,2015
5059,60,uma thurman,fall out boy,2015
5060,61,711,beyonce,2015
5061,62,the heart wants what it wants,selena gomez,2015
5062,63,girl crush,little big town,2015
5063,64,slow motion,trey songz,2015
5064,65,drag me down,one direction,2015
5065,66,truffle butter,nicki minaj featuring drake and lil wayne,2015
5066,67,one last time,ariana grande,2015
5067,68,chains,nick jonas,2015
5068,69,all eyes on you,meek mill featuring chris brown and nicki minaj,2015
5069,70,no type,rae sremmurd,2015
5070,71,riptide,vance joy,2015
5071,72,classic man,jidenna featuring roman gianarthur,2015
5072,73,exs  ohs,elle king,2015
5073,74,dear future husband,meghan trainor,2015
5074,75,marvin gaye,charlie puth featuring meghan trainor,2015
5075,76,like im gonna lose you,meghan trainor featuring john legend,2015
5076,77,habits stay high,tove lo,2015
5077,78,the hanging tree,james newton howard featuring jennifer lawrence,2015
5078,79,coco,ot genasis,2015
5079,80,bang bang,jessie j ariana grande and nicki minaj,2015
5080,81,lay me down,sam smith,2015
5081,82,tuesday,ilovemakonnen featuring drake,2015
